Rank,Quip
71,"Knocking on the door. {artist} wants in. {song} is ringing the doorbell relentlessly."
70,"Seven-Oh. {artist} is looking pro. {song} is slicker than a used car salesman."
69,"Giggity. {artist} knows what's up. {song} is ready for action."
68,"You owe me one. {artist} is calling in favours. {song} is collecting debts."
67,"Heaven. {artist} is floating. {song} is angelic (mostly)."
66,"Clickety click. {artist} is on the move. {song} is clocking up the ks."
65,"Retirement age. {artist} is wise. {song} has seen some things."
64,"Beatles number. {artist} will you still need me? {song} says yes."
63,"Climbing the mountain. {artist} needs oxygen. {song} is breathtaking."
62,"Solid knock. {artist} is defending the wicket. {song} is playing the long game."
61,"Over the hill. {artist} looks good from here. {song} has a great view."
60,"Sixty! {artist} is holding strong. {song} is built like a brick outhouse."
59,"Prime time. {artist} is ready for their close up. {song} is looking sharp."
58,"Great state. {artist} is patriotic. {song} salutes the flag."
57,"Heinz variety. {artist} has range. {song} covers all the bases."
56,"Pick up sticks. {artist} is messy. {song} is cleaning up."
55,"Speed limit. {artist} is driving safely. {song} avoids the demerit points."
54,"Clean as a whistle. {artist} is polished. {song} shines like a new ute."
53,"Joker in the pack. {artist} is wild. {song} is unpredictable."
52,"Deck of cards. {artist} shuffles up. {song} deals a good hand."
51,"Borderline. {artist} is on the edge. {song} is living dangerously."
50,"HALF WAY! {artist} cracks the 50! {song} is officially 'pretty bloody good'."
49,"Keeping on. {artist} is relentless. {song} doesn't know how to stop."
48,"Four dozen. {artist} is bulk buying. {song} is great value."
47,"Heavy hitter. {artist} swings hard. {song} connects with the jaw."
46,"Revhead. {artist} is burning rubber. {song} does a burnout in the Maccas carpark."
45,"Half time. {artist} grabs an orange slice. {song} is rehydrating."
44,"All the fours. {artist} is marching. {song} is in lockstep."
43,"Beans on toast. {artist} is a staple. {song} is comfort food."
42,"Answer to life. {artist} is deep. {song} explains the universe."
41,"Life begins. {artist} is fresh. {song} is having a midlife crisis (the fun kind)."
40,"Naughty forty. {artist} is misbehaving. {song} is a bad influence."
39,"Steps. {artist} is climbing. {song} is getting high."
38,"Prosperity. {artist} is cashing in. {song} is making bank."
37,"More than a feeling. {artist} is emotional. {song} hits you in the feels."
36,"Perfect measure. {artist} measures up. {song} is the right size."
35,"Coral reef. {artist} is colorful. {song} is full of life."
34,"Ask for more. {artist} is greedy. {song} takes the whole cake."
33,"All the threes. {artist} is tripping. {song} is psychedelic."
32,"Buckle my shoe. {artist} is getting ready. {song} is tying the laces."
31,"Flavours. {artist} is tasty. {song} is delicious."
30,"Dirty Thirty! {artist} is getting loose. {song} is waking up in a trolley."
29,"In your prime. {artist} is peaking. {song} is at the top of its game."
28,"Overweight baggage. {artist} is heavy. {song} costs extra to fly."
27,"Gateway to heaven. {artist} is divine. {song} is a spiritual experience."
26,"Boxing day test. {artist} is a classic. {song} lasts for five days."
25,"Quarter century. {artist} is silver. {song} is precious metal."
24,"Case of stubbies. {artist} is the whole slab. {song} is best shared with mates."
23,"MJ. {artist} is the GOAT. {song} is flying."
22,"Two little ducks. {artist} is splashing. {song} is making waves."
21,"Key to the door. {artist} is grown up. {song} is moving out."
20,"TOP 20! Serious now. {artist} puts the game face on. {song} means business."
19,"Last of the teens. {artist} is growing up fast. {song} is leaving the nest."
18,"Adults only. {artist} is censorship bypass. {song} is explicit."
17,"Dancing Queen. {artist} is jiving. {song} is tearing up the D-floor."
16,"Sweet sixteen. {artist} is innocent. {song} is pure joy."
15,"Rugby XV. {artist} is a full team effort. {song} scores the try."
14,"Two weeks notice. {artist} is quitting. {song} is walking out the door."
13,"Unlucky for some. {artist} breaks a mirror. {song} brings 7 years of good tunes."
12,"Dozen donuts. {artist} is a treat. {song} is glazed and confused."
11,"Legs eleven. {artist} is walking tall. {song} is striding into history."
10,"TOP 10! BEDLAM! {artist} is royalty! {song} is more popular than a public holiday!"
9,"Cloud nine. {artist} is drifting. {song} is absolute bliss!"
8,"Garden gate. {artist} opens up. {song} welcomes you home!"
7,"Lucky seven. {artist} rolls the dice. {song} wins the lotto!"
6,"Tom Mix. {artist} shoots straight. {song} is a bullseye!"
5,"TOP 5! STREWTH! {artist} is on fire! {song} is hotter than the steering wheel of a ute in January!"
4,"Knocking on the door! {artist} wants the medal! {song} is gutted but glorious!"
3,"BRONZE! {artist} stands tall! {song} is officially a national anthem!"
2,"SILVER! SO CLOSE! {artist} is the bridesmaid! {song} is the people's champion!"
1,"NUMBER ONE! YOU LITTLE RIPPER! {artist} takes the crown! {song} is the Hottest of the Hot! Scull your drink, hug a stranger, and belt it out!"
