Song Position,Update,Two-way Tie,Three-way Tie,No score
80,"{leader} is looking lively, up by {margin}. {loser} is sluggish.",Cannot compute! {name1} and {name2} have broken the scoreboard.,"Like the recycling bin logos. {name1}, {name2}, and {name3} are going in circles.",Gutter ball. Straight into the channel.
79,"{leader} is making early gains, leading by {margin}. {loser} is losing ground.",Like a snag in bread. {name1} and {name2} are a unit.,"Like a pawnbroker's sign (three balls). {name1}, {name2}, and {name3} are golden.",Sucked in! The Hottest 100 tricked you all.
78,"{leader} is starting to hustle, up by {margin}. {loser} is napping.",Doppelgängers! {name1} and {name2} are seeing double.,"Triple shot latte. {name1}, {name2}, and {name3} are buzzing.",Dud round. Complete dud.
77,"{leader} is finding their feet, leading by {margin}. {loser} is tripping over.","Like the Princes Highway, {name1} and {name2} are jammed together.","Third wheel? No, it's a unicycle built for three. {name1}, {name2}, and {name3} are balancing.",You lot are all hat and no cattle. Zero.
76,"{leader} is getting warm, up by {margin}. {loser} is cold.",A perfect pair. {name1} and {name2} are holding hands.,"Like a three-legged race. {name1}, {name2}, and {name3} are stumbling to glory.",Like a shark in a swimming pool—unwelcome news. No one scored.
75,First quarter done. {leader} leads by {margin}. {loser} is waking up.,"Like a round of beers, {name1} and {name2} are shouting each other.","Alvin and the Chipmunks. {name1}, {name2}, and {name3} are high pitched.",Fizzer! A total non-event.
74,"{leader} is in the mix, up by {margin}. {loser} is confused.","Echo! {name1} says score, {name2} repeats it.","Macbeth's witches. {name1}, {name2}, and {name3} are stirring the pot.",Knock knock. Who's there? No one. No one got points.
73,"{leader} is keeping pace, leading by {margin}. {loser} is lagging.",Stuck like sh*t to a blanket. {name1} and {name2} are tied.,"Like the three bears. {name1}, {name2}, and {name3} are just right.",Bleak city. No points for anyone.
72,"{leader} is staying calm, up by {margin}. {loser} is panicking.",Like a tradie and an iced coffee. {name1} and {name2} are inseparable.,"Waiting for a mate? No, waiting for two mates. {name1}, {name2}, and {name3} are here.",Up the creek without a paddle. And the canoe is leaking.
71,"{leader} is holding firm, leading by {margin}. {loser} is wobbling.",Siamese twins! {name1} and {name2} are joined at the hip.,"Like three snags on a single slice of bread. {name1}, {name2}, and {name3} are precarious.",Cactus. This round is absolutely cactus.
70,"{leader} takes the advantage, up by {margin}. {loser} is under pressure.","Like a blister, {name1} and {name2} just won't go away.","Crowded on the bench seat of a ute. {name1}, {name2}, and {name3} are shoulder to shoulder.",Piss poor effort. Try harder next time.
69,{leader} is ahead by {margin}. {loser} is behind.,Nice. {name1} and {name2} are tied. Nice.,"INXS (Hutchence + 2). {name1}, {name2}, and {name3} need you tonight.",Embarrassing. My nan could pick better songs and she's deaf.
68,"{leader} is pushing, up by {margin}. {loser} is pulling.",Parallel parking. {name1} and {name2} are perfectly aligned.,"Midnight Oil (The drum, bass and guitar section). {name1}, {name2}, and {name3} are burning beds.",Looks like a graffiti wall—blank. No scores.
67,"{leader} is working hard, leading by {margin}. {loser} is hardly working.","Like bin chickens on a rubbish truck, {name1} and {name2} are riding high together.","Regurgitator. {name1}, {name2}, and {name3} like your old stuff better.",You missed the bus. And the train. And the taxi.
66,"{leader} is finding rhythm, up by {margin}. {loser} is off beat.",Double yoke! {name1} and {name2} are cracking eggs.,"Living End. {name1}, {name2}, and {name3} are prisoners of society.",Two tenths of bugger all. That's what you scored.
65,"{leader} is edging ahead, leading by {margin}. {loser} is slipping back.",Two-up! Both coins landed heads. {name1} and {name2} win.,"Wolfmother. {name1}, {name2}, and {name3} are woman (or man).",Radio silence. Literally.
64,"{leader} is solid, up by {margin}. {loser} is shaky.","Like a 3am kebab, {name1} and {name2} are wrapped up together.","Genesis. {name1}, {name2}, and {name3} are in deep.",Dropped the ball. Kicked it out of bounds. Went home.
63,"{leader} is looking good, leading by {margin}. {loser} is looking average.",Closer than a crowded train to the city. {name1} and {name2} are squashed.,"The Police. {name1}, {name2}, and {name3} are sending an SOS.","A total shambles. Someone check the wifi, surely you're not this bad?"
62,"{leader} is stepping up, up by {margin}. {loser} is falling down.","The odd couple? Nah, the even couple. {name1} and {name2} are tied.","The Jam. {name1}, {name2}, and {name3} are going underground.",Running on empty. The tank is dry.
61,"{leader} is gaining momentum, leading by {margin}. {loser} is losing grip.","Like a servo pie and sauce, {name1} and {name2} belong together.","Cream. {name1}, {name2}, and {name3} rise to the top.",Like a vegan at a Bunnings sausage sizzle. You found nothing here.
60,"{leader} is making moves, up by {margin}. {loser} is standing still.",Holding hands across the finish line. {name1} and {name2} are cute.,"Crosby, Stills and Nash. {name1}, {name2}, and {name3} are teaching your children well.",Computer says no. Scoreboard says zero.
59,"{leader} is focused, leading by {margin}. {loser} is distracted.",Nobody blink! {name1} and {name2} are in a staring contest.,"Peter, Paul and Mary. {name1}, {name2}, and {name3} are leaving on a jet plane.",Madness. Sheer madness. No points.
58,"{leader} is finding the gaps, up by {margin}. {loser} is hitting the wall.",Drum roll... it's a tie! {name1} and {name2} both win (for now).,"De La Soul. {name1}, {name2}, and {name3} is the magic number.","Carry on like a pork chop all you want, you still got zero."
57,"{leader} is sharp, leading by {margin}. {loser} is blunt.","Like gin and tonic, {name1} and {name2} are mixed together.","Beastie Boys. {name1}, {name2}, and {name3} fight for their right to party.",Fumbling in the dark. No one found the light switch.
56,"{leader} is keeping the foot down, up by {margin}. {loser} is out of gas.",It's a remix! {name1} featuring {name2} on the lead vocals.,"Motörhead. {name1}, {name2}, and {name3} are the Ace of Spades.","Shut the gate, the horse has bolted. And you all missed it."
55,"{leader} is on a roll, leading by {margin}. {loser} is stuck in the mud.",Frozen in time! {name1} and {name2} are statues at the top.,"ZZ Top. {name1}, {name2}, and {name3} have got legs.",Goose egg! A giant zero for the squad.
54,"{leader} is looking dangerous, up by {margin}. {loser} is looking scared.",Two heads are better than one? {name1} and {name2} are proving it.,"Rush. {name1}, {name2}, and {name3} are in the limelight.",Dead heat for last place. Everyone gets nothing.
53,"{leader} is shifting gears, leading by {margin}. {loser} has stalled.",Tugging the rope! {name1} and {name2} are in a tug of war stalemate.,"The Supremes. {name1}, {name2}, and {name3} keep me hangin' on.",Playing funny buggers? Surely someone voted for this? No?
52,"{leader} is building a fortress, up by {margin}. {loser} is living in a tent.","Like a stunning mark, {name1} is on {name2}'s shoulders (or vice versa)!","TLC. {name1}, {name2}, and {name3} don't want no scrubs.",As useful as a glass hammer. No points awarded.
51,"{leader} is turning the screws, leading by {margin}. {loser} is coming loose.",It's a knot we can't untie! {name1} and {name2} are bound together.,"Jonas Brothers. {name1}, {name2}, and {name3} are burning up.",Did you all vote blindfolded? Zero marks.
50,HALFWAY MARK! {leader} is winning the marathon by {margin}. {loser} is wheezing.,Halfway split! {name1} and {name2} have to share the prize money.,"Three strikes! {name1}, {name2}, and {name3} are out... in front!",Whiff! The smell of failure is strong in here.
49,"{leader} is tearing it up, up by {margin}. {loser} is in tatters.","Like a mullet, it's business at the front for both {name1} and {name2}.",Like a sandwich. {name2} is the filling between {name1} and {name3}.,Wait for it... wait for it... Nope. No one got it.
48,"{leader} is pure class, leading by {margin}. {loser} has no class.",Velcro! {name1} and {name2} are hooked on each other.,"Ready, Set, Go! {name1}, {name2}, and {name3} are at the line.",Stubby short of a six pack. That's this group right now.
47,"{leader} is the captain now, up by {margin}. {loser} is swabbing the deck.",Stuck in the revolving door together. {name1} and {name2} are spinning.,"Primary colours. {name1}, {name2}, and {name3} are mixing it up.",You couldn't organise a chook raffle in a pub. No one picked the song.
46,"{leader} is locked in, leading by {margin}. {loser} is locked out.",Buy one get one free! {name1} and {name2} are the special of the day.,"Tic Tac Toe! {name1}, {name2}, and {name3} are three in a row.",It's a desert out there. Not a drop of water or a point in sight.
45,"{leader} is climbing high, up by {margin}. {loser} has vertigo.",Matching set! {name1} and {name2} are a two-for-one deal.,"Like a totem pole. {name1}, {name2}, and {name3} are stacked.",Flamin' galahs! The lot of ya!
44,"{leader} is making a statement, leading by {margin}. {loser} is speechless.",Twin turbos! {name1} and {name2} are revving at the same RPM.,"Spiderbait! {name1}, {name2}, and {name3} are buying me a pony.",Munted. The round is munted. No scores.
43,"{leader} is surging, up by {margin}. {loser} is retreating.",Synchronised swimming! {name1} and {name2} are performing perfectly together.,"Silverchair! (Before they broke up). {name1}, {name2}, and {name3} are waiting for tomorrow.",Dropped the pie! You had it in your hands and you dropped it.
42,"{leader} is firing lasers, leading by {margin}. {loser} is holding a water pistol.",No daylight! {name1} and {name2} are running in each other's shadows.,"Blind Melon. {name1}, {name2}, and {name3} strictly no rain.",Shocker! An absolute shocker from the gallery.
41,"{leader} is hot property, up by {margin}. {loser} is a condemned building.","Like a postcode, they share the same numbers! {name1} and {name2} are level.","Three coins in the fountain. {name1}, {name2}, and {name3} are wishing for a win.","Bog standard effort. Actually, below standard. Zero."
40,"{leader} is pulling the strings, leading by {margin}. {loser} is a puppet.",Tenser than a grand final BBQ. {name1} and {name2} are tied.,"Three sheets to the wind. {name1}, {name2}, and {name3} are loose.",Total wipeout! Everyone fell off the surfboard.
39,"{leader} is master of the domain, up by {margin}. {loser} is the servant.",Right down to the wire! {name1} and {name2} are sparking electricity.,"Like the stumps at the cricket. {name1}, {name2}, and {name3} are standing together.",Are your ears painted on? How did you miss this?
38,"{leader} is teaching a lesson, leading by {margin}. {loser} is in detention.",Peas in a pod. {name1} and {name2} have the exact same score.,"Salt-N-Pepa (plus Spinderella). {name1}, {name2}, and {name3} are pushing it.",The wheel is turning but the hamster is dead. No points.
37,"{leader} is driving the bus, up by {margin}. {loser} missed the stop.","Like Kath and Kim, {name1} and {name2} are an iconic duo at the top.","Run-DMC. {name1}, {name2}, and {name3} are tricky.",Useless. As useful as pockets in your underpants.
36,"{leader} is looking very comfortable, leading by {margin}. {loser} is sweating bullets.",It's a draw! {name1} and {name2} are going to have to arm wrestle for it.,"Like a fork in the road. {name1}, {name2}, and {name3} are branching out.",Fair dinkum? No one? Not even a pity vote?
35,Huge lead! {leader} is up by {margin}. {loser} needs a miracle.,Closer than the queues at Centrelink. {name1} and {name2} are side by side.,"The Three Stooges. {name1}, {name2}, and {name3} are poking eyes out.",Strike three! The whole group is out.
34,"{leader} is piling on the pain, up by {margin}. {loser} is in agony.","Same same, but different names. {name1} and {name2} are tied.","A perfect triangle. {name1}, {name2}, and {name3} have acute angles.","This song is popular, unlike you lot who currently have zero points."
33,"{leader} is untouchable, leading by {margin}. {loser} is very touchable.",A distinct lack of social distancing between {name1} and {name2}.,"Like a juggle! {name1}, {name2}, and {name3} are all in the air at once.",Bum steer! You all went the wrong way.
32,"{leader} is scorching the earth, up by {margin}. {loser} is burnt toast.",Two hands on the wheel! {name1} and {name2} are co-pilots right now.,"Hanson! {name1}, {name2}, and {name3} are Mmm-bop-ing their way to the top.",Flat chat... to nowhere. No one picked it.
31,Daylight second! {leader} leads by {margin}. {loser} is in the dark.,Stalemate! {name1} and {name2} have cancelled each other out.,"The Three Tenors. {name1}, {name2}, and {name3} are hitting the high notes.",Like a screen door on a submarine. That's how useful your votes were.
30,"{leader} is running away with it, up by {margin}. {loser} is running on the spot.",Glued together! {name1} and {name2} are stuck fast.,"Like a traffic light, {name1}, {name2}, and {name3} are stopping traffic.",A few kangaroos loose in the top paddock for this group. Total miss.
29,"{leader} is flexing hard, leading by {margin}. {loser} has pulled a hammy.","Like a pair of bonding undies, {name1} and {name2} are holding tight.","Gold, Frankincense, and Myrrh. {name1}, {name2}, and {name3} are wise men/women.","Not the sharpest tools in the shed today, are we? 0 points."
28,"{leader} is in a league of their own, up by {margin}. {loser} is playing Sunday league.",Super Over required! {name1} and {name2} finish the innings level.,"A tricycle race! {name1}, {name2}, and {name3} are pedalling hard.",Lost in the desert. Your votes are wandering around the Nullarbor.
27,No mercy! {leader} is crushing it by {margin}. {loser} is begging for it to stop.,Copycats! {name1} and {name2} are mimicking each other's every move.,"Snap, Crackle, and Pop! {name1}, {name2}, and {name3} are making noise.",Clean sheet! But in the bad way. No one marked the scorecard.
26,"{leader} is hammering the nail in the coffin, leading by {margin}. {loser} is in the box.",Double trouble at the top! {name1} and {name2} are sharing the glory.,"Ghostbusters! (The original ones minus Winston). {name1}, {name2}, and {name3} are catching ghosts.",Does anyone here actually listen to music? No one? Okay.
25,"Three quarters done! {leader} is looking elite, up by {margin}. {loser} is looking tragic.",It's a tandem bike ride! {name1} and {name2} are pedalling together.,"Like a clover leaf. {name1}, {name2}, and {name3} are the lucky trio.",You're all playing for sheep stations and you just lost the sheep.
24,"{leader} is extending the gap, now up by {margin}. {loser} is fading away.",No leader declared! {name1} and {name2} are stuck in traffic together.,"Green Day! {name1}, {name2}, and {name3} are an American Idiot sandwich.",That went down like a lead balloon. No takers.
23,One way traffic! {leader} leads by {margin}. {loser} is going the wrong way down a one-way street.,Locked horns! {name1} and {name2} are two bulls in the same paddock.,"Nirvana! {name1}, {name2}, and {name3} smell like teen spirit.",Quieter than a library on Christmas Day. Zip. Zilch. Zero.
22,"{leader} is putting the champagne on ice, leading by {margin}. {loser} is drinking warm tap water.",Even Stevens! {name1} and {name2} are balancing the scales.,"Tighter than three people in a two-man tent. {name1}, {name2}, and {name3} are cozy.",You lot couldn't pick a winner in a one-horse race.
21,"Can anyone catch them? {leader} is flying, up by {margin}. {loser} is grounded.",Like two seagulls fighting over the last chip. {name1} and {name2} are at it!,"A tripod of talent! {name1}, {name2}, and {name3} are holding the table up.",Lights are on but no one's home. Complete blackout on the scoreboard.
20,Into the business end! {leader} is bossing it by {margin}. {loser} is getting fired.,Deadset deadlock! {name1} and {name2} are refusing to budge.,"The Three Musketeers! All for one and one for all for {name1}, {name2}, and {name3}.",Tougher than a $2 steak. No one could chew through this one.
19,"{leader} is writing their acceptance speech, up by {margin}. {loser} is writing their will.","Get the saw, we're cutting the trophy in half! {name1} and {name2} are tied.","Three blind mice! {name1}, {name2}, and {name3} have no idea who is actually winning.","Yeah, nah. Everyone voted nah. The song voted yeah."
18,"{leader} smells blood, leading by {margin}. {loser} is the wounded gazelle.",Collision course! {name1} and {name2} have crashed into each other at the top.,"Blink-182! {name1}, {name2}, and {name3} are asking 'What's my age again?'",More useless than an ashtray on a motorbike. No one scored.
17,Total control. {leader} is cruising to victory by {margin}. {loser} is sinking fast.,Separated at birth? {name1} and {name2} are on the exact same wavelength.,"Charlie's Angels! {name1}, {name2}, and {name3} are ready for action.",Stone the crows! A collective fail. 0 points.
16,This is a massacre. {leader} leads by {margin}. {loser} needs a medic.,Mirror image! {name1} and {name2} are scoring identically.,"Harry, Ron, and Hermione! {name1}, {name2}, and {name3} are pure magic.",Gone walkabout! The points have disappeared into the bush.
15,Look at the scoreboard! {leader} is miles in front ({margin} points). {loser} is not even in the frame.,It's a dual monarchy! {name1} and {name2} are sharing the throne.,"Cerberus! The three-headed dog of victory is {name1}, {name2}, and {name3}.",You bunch of Galahs! How did everyone miss this?
14,"Dominance! {leader} is lapping the field, up by {margin}. {loser} has a flat tyre.",Nothing in it! {name1} and {name2} are trading blows like Rocky and Apollo.,"Rock, Paper, Scissors! {name1}, {name2}, and {name3} are stuck in a loop.",A pub with no beer. That's what this round feels like. Disappointing.
13,"It's a procession! {leader} is waving to the crowd, up by {margin}. {loser} is being booed.",Tighter than a fishes arse! {name1} and {name2} cannot be separated.,"Like a Neapolitan ice cream: {name1}, {name2}, and {name3} are three flavours of winning.",Woop Woop! That's where your points are. Nowhere near here.
12,"Final stages now. {leader} has one hand on the trophy, up by {margin}. {loser} has given up hope.",Flip a coin! {name1} and {name2} are perfectly matched.,"Traffic jam! {name1}, {name2}, and {name3} are bumper to bumper on the freeway.",Not happy Jan! The scoreboard remains unchanged.
11,"Approaching the finish line and {leader} is unstoppable, leading by {margin}. {loser} has collapsed.",It's a standoff! {name1} and {name2} are staring each other down at high noon.,"Huey, Dewey, and Louie! {name1}, {name2}, and {name3} are quacking the same tune.",Out on the full! A collective shank from the whole team.
10,Result declared! {leader} takes the chocolates by {margin}. {loser} gets the empty wrapper.,You couldn't slide a cigarette paper between them. {name1} and {name2} are tied!,"Destiny's Child! {name1}, {name2}, and {name3} are survivors.",Straight through to the keeper. No one got a bat on it.
9,"Crown them! {leader} is the monarch, winning by {margin}. {loser} is the court jester.",Closer than a coat of paint! {name1} and {name2} are completely deadlocked.,"Bermuda Triangle! {name1}, {name2}, and {name3} are lost in the lead together.",Empty Esky! You've opened the lid and there is nothing inside. Zero points.
8,"The dust has settled. {leader} stands tall, winning by {margin}. {loser} is buried in the rubble.",Shoulder to shoulder! {name1} and {name2} are fighting over the steering wheel.,"The Good, The Bad, and The Ugly. I won't say which is which, but {name1}, {name2}, and {name3} are tied.",Stitched up! The entire group missed the boat on this one.
7,Victory! {leader} brings it home by {margin}. {loser} is walking home in the rain.,Golden Point time! {name1} and {name2} are level. Next vote wins!,"Hat-trick! {name1}, {name2}, and {name3} have scored perfectly equal points.",Tell 'em they're dreamin'! No one saw this coming.
6,It's all over bar the shouting! {leader} wins by {margin}. {loser} is asking for a recount.,It's the 2010 Grand Final all over again! It's a draw between {name1} and {name2}!,"Three's a crowd? Not for {name1}, {name2}, and {name3}. They're loving it.",Buckley's Chance! That's what you all had of picking this one.
5,"We have a result! {leader} is the alpha, winning by {margin}. {loser} is the beta.",TIE GAME! {name1} and {name2} are neck and neck coming down the straight!,"The Bee Gees of the scorecard! {name1}, {name2}, and {name3} are stayin' alive together.",Dryer than a dead dingo's donger. Not a single point scored.
4,The fat lady has sung! {leader} reigns supreme by {margin}. {loser} should delete the app immediately.,We can't split them! {name1} and {name2} are stuck together like two dogs in a park.,"TRIPLE THREAT! {name1}, {name2}, and {name3} are dancing in perfect sync.",A Golden Duck for the squad! You're all walking back to the pavilion with your heads down.
3,"Stop the count, it's done! {leader} takes the gold by {margin}. {loser} is crying into their beer.",It's a hung parliament! {name1} and {name2} need to form a coalition immediately.,"Crowded house! {name1}, {name2}, and {name3} are all squashed into first place.",Crickets... absolute silence. No one picked this banger.
2,"And that's a wrap! {leader} finishes on top, winning by {margin}. {loser} is officially the biggest loser.",PHOTO FINISH! Call the judges! {name1} and {name2} are locked together on the same score!,"It's a M�nage � trois! {name1}, {name2}, and {name3} are getting cozy at the top.",Donut! A big fat zero for everyone. You lot are hopeless.
1,GAME OVER! {leader} is the Fairest 100 Champion! They smashed it by {margin} points. {loser} collects the Wooden Spoon!,DEAD HEAT! We have a tie at the top! {name1} and {name2} are absolutely inseparable!,"MEXICAN STANDOFF! {name1}, {name2}, and {name3} are all pointing guns at each other! No one move!",Swing and a miss! The whole group goes out for a duck. No points.
